symbol,name,sector
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,Other
ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,Other
EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,Other
EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,Other
EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.,Other
EGEPO.IS,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,Other
EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.,Other
EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.,Other
EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,Other
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,Other
EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,Other
ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,Other
EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,Other
EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,Other
ENERY.IS,ENERYA ENERJİ A.Ş.,Other
ENJSA.IS,ENERJİSA ENERJİ A.Ş.,Other
ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.,Other
ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,Other
EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,Other
ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,Other
ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,Other
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,Other
ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.,Other
ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,Other
ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.,Other
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,Other
ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,Other
ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,Other
EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.,Other
EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,Other
EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,Other
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,Other
EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,Other
EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,Other
FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,Other
FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,Other
FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,Other
FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.,Other
FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,Other
FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,Other
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,Other
FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.,Other
GARFA.IS,GARANTİ FAKTORİNG A.Ş.,Other
GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,Other
GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,Other
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,Other
GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,Other
GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,Other
GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,Other
GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,Other
GLBMD.IS,GLOBAL MENKUL DEĞERLER A.Ş.,Other
GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.,Other
GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.,Other
GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.,Other
GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,Other
GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,Other
GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other
GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.,Other
GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other
GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,Other
GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,Other
GRTRK.IS,GRAINTURK TARIM A.Ş.,Other
GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,Other
GSDHO.IS,GSD HOLDİNG A.Ş.,Other
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.,Other
GWIND.IS,GALATA WIND ENERJİ A.Ş.,Other
GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,Other
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.,Other
HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,Other
HATSN.IS,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.,Other
