symbol,name,sector,status,observations,median_daily_turnover
YYLGD.IS,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,Other,PASS,1058,93294093.33243276
MPARK.IS,MLP SAĞLIK HİZMETLERİ A.Ş.,Other,PASS,1502,92770332.6270218
A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,Other,PASS,789,91275866.77033617
GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,Other,PASS,1107,89097624.0
BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,Other,PASS,875,87414594.6837616
HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1506,87267067.1424408
TKNSA.IS,TEKNOSA İÇ VE DIŞ TİCARET A.Ş.,Other,PASS,1502,86485755.53387356
CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,Other,PASS,1502,86217292.03473115
KOPOL.IS,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,Other,PASS,833,85016925.93582916
ONCSM.IS,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.,Other,PASS,899,84554174.0
TRILC.IS,TURK İLAÇ VE SERUM SANAYİ A.Ş.,Other,PASS,1359,84295478.74041867
ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,Other,PASS,1502,83849705.76801205
GWIND.IS,GALATA WIND ENERJİ A.Ş.,Other,PASS,1323,82664651.34134674
IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.,Other,PASS,1070,80085333.26803064
BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,Other,PASS,1503,79915971.95293188
AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,79375419.07967162
KORDS.IS,KORDSA TEKNİK TEKSTİL A.Ş.,Other,PASS,1502,77398609.59288597
TRGYO.IS,TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,77355714.7865982
DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,Other,PASS,596,76812062.28212428
SNGYO.IS,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,76048832.02521133
SELEC.IS,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,Other,PASS,1502,75445963.65002632
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,Other,PASS,1462,75073049.59680736
VKGYO.IS,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1508,74149222.49096012
BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,Other,PASS,1322,73834897.03969097
VAKFN.IS,VAKIF FİNANSAL KİRALAMA A.Ş.,Other,PASS,1507,73280049.21766222
ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.,Other,PASS,1502,72950927.4021864
GSDHO.IS,GSD HOLDİNG A.Ş.,Other,PASS,1502,72203759.67723614
KUYAS.IS,KUYAŞ YATIRIM A.Ş.,Other,PASS,1503,71712840.13336945
IHLAS.IS,İHLAS HOLDİNG A.Ş.,Other,PASS,1502,71578970.55759078
ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,Other,PASS,1502,71029598.77604675
BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,Other,PASS,1075,70993372.44118881
TARKM.IS,TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,Other,PASS,595,70702612.75
SNICA.IS,SANİCA ISI SANAYİ A.Ş.,Other,PASS,929,70584282.74416924
